mt_id,x,y,density,mt,t_seconds,mt_length,deltaR_um
5_250,505.75,860.417,250,5,38,9.919,1.123878463
5_250,500.042,860.875,250,5,40,9.919,1.145269016
5_250,497.75,863.375,250,5,42,9.919,0.678329242
5_250,490.875,865.792,250,5,44,9.919,1.457498048
5_250,485.917,867.75,250,5,46,9.919,1.066124345
5_250,480.208,869.667,250,5,48,9.919,1.204451244
5_250,475,870.417,250,5,50,9.919,1.052345267
5_250,468.833,871.625,250,5,52,9.919,1.256839735
5_250,464.917,873.042,250,5,54,9.919,0.832897233
5_250,459.167,875.75,250,5,56,9.919,1.27115324
5_250,453.208,877.75,250,5,58,9.919,1.257134535
5_250,448.25,880.042,250,5,60,9.919,1.092429
5_250,440.917,881,250,5,62,9.919,1.479062582
5_250,436.917,882.542,250,5,64,9.919,0.857385887
5_250,430.875,883.875,250,5,66,9.919,1.237459543
5_250,426,886.208,250,5,68,9.919,1.080898034
5_250,421.125,888.625,250,5,70,9.919,1.088255742
5_250,415.083,888.833,250,5,72,9.919,1.209115842
5_250,409.167,890.667,250,5,74,9.919,1.238751178
5_250,404.167,891.708,250,5,76,9.919,1.021443704
5_250,399.083,891.458,250,5,78,9.919,1.018028605
5_250,393.958,892.458,250,5,80,9.919,1.044329929
5_250,388.125,895.458,250,5,82,9.919,1.311851958
5_250,384.125,897.042,250,5,84,9.919,0.860443049
5_250,379.75,900.333,250,5,86,9.919,1.094921111
5_250,374.917,902.125,250,5,88,9.919,1.030905485
5_250,370.125,903.458,250,5,90,9.919,0.994789485
5_250,365.167,904,250,5,92,9.919,0.997507454
5_250,360.083,904.583,250,5,94,9.919,1.023463629
5_250,354.042,903.708,250,5,96,9.919,1.220808027
5_250,347.958,904.75,250,5,98,9.919,1.234517234
5_250,343.583,904.75,250,5,100,9.919,0.875
5_250,338.958,904.25,250,5,102,9.919,0.930389703
5_250,334.333,901.958,250,5,104,9.919,1.032354377
5_250,329.25,898.792,250,5,106,9.919,1.197671825
5_250,324.583,895.958,250,5,108,9.919,1.092015476
5_250,319.625,894.042,250,5,110,9.919,1.063067637
5_250,315,891.458,250,5,112,9.919,1.059578803
5_250,310,890.708,250,5,114,9.919,1.011187421
5_250,305.708,887.625,250,5,116,9.919,1.056904026
5_250,300.875,885.208,250,5,118,9.919,1.080736379
5_250,295.792,882.083,250,5,120,9.919,1.193356845
5_250,290.792,879.958,250,5,122,9.919,1.086565691
5_250,285.792,878.167,250,5,124,9.919,1.062218076
5_250,279.167,875.875,250,5,126,9.919,1.40205405
5_250,275.208,874,250,5,128,9.919,0.876112002
5_250,270.083,870.125,250,5,130,9.919,1.285009728
5_250,264.042,866.375,250,5,132,9.919,1.422057397
5_250,261.042,861.792,250,5,134,9.919,1.095516116
5_250,258.333,857.042,250,5,136,9.919,1.093639447
5_250,254.083,852.917,250,5,138,9.919,1.184535774
5_250,251.458,847.042,250,5,140,9.919,1.286953768
5_250,248.583,841.167,250,5,142,9.919,1.308147545
5_250,246.042,837.833,250,5,144,9.919,0.838385043
5_250,244.417,831.042,250,5,146,9.919,1.39654296
5_250,242.042,826.042,250,5,148,9.919,1.107079491
5_250,239.75,821.75,250,5,150,9.919,0.973129549
5_250,237.458,816.083,250,5,152,9.919,1.222589923
5_250,236.833,810.875,250,5,154,9.919,1.049073668
5_250,235.542,806.125,250,5,156,9.919,0.98446292
5_250,234.542,800.125,250,5,158,9.919,1.216552506
5_250,232.75,795.042,250,5,160,9.919,1.077926769
5_250,231,788.875,250,5,162,9.919,1.282098109
5_250,228,783,250,5,164,9.919,1.31932748
5_250,225.75,778.208,250,5,166,9.919,1.058787306
5_250,223.25,772.875,250,5,168,9.919,1.17797944
5_250,221.958,765.625,250,5,170,9.919,1.472844377
5_250,219.625,761.958,250,5,172,9.919,0.869247445
5_250,218,756.375,250,5,174,9.919,1.162936181
